"IM Race-Ethnicity no Unknown","Age at death 18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Crude Rate","Count","Population"
0,4,3,0,3,^,^,20956698
0,4,3,1,0,^,^,21446129
0,4,3,1,1,^,^,21899239
0,4,3,1,2,^,^,22209693
0,4,3,1,3,^,^,20956698
0,4,3,2,0,^,^,21446129
0,4,3,2,1,^,^,21899239
0,4,3,2,2,^,^,22209693
0,4,3,2,3,^,^,20956698
0,5,0,0,0,0.09,18,20428921
0,5,0,0,1,0.09,20,21415284
0,5,0,0,2,0.08,17,22324799
0,5,0,0,3,0.09,21,22976213
0,5,0,1,0,0.07,15,20428921
0,5,0,1,1,0.09,20,21415284
0,5,0,1,2,0.07,16,22324799
0,5,0,1,3,0.08,19,22976213
0,5,0,2,0,^,^,20428921
0,5,0,2,1,^,^,21415284
0,5,0,2,2,^,^,22324799
0,5,0,2,3,^,^,22976213
0,5,1,0,0,^,^,20428921
0,5,1,0,1,^,^,21415284
0,5,1,0,2,^,^,22324799
0,5,1,0,3,^,^,22976213
0,5,1,1,0,^,^,20428921
0,5,1,1,1,^,^,21415284
0,5,1,1,2,^,^,22324799
0,5,1,1,3,^,^,22976213
0,5,1,2,0,^,^,20428921
0,5,1,2,1,^,^,21415284
0,5,1,2,2,^,^,22324799
0,5,1,2,3,^,^,22976213
0,5,2,0,0,^,^,20428921
0,5,2,0,1,^,^,21415284
0,5,2,0,2,^,^,22324799
0,5,2,0,3,^,^,22976213
0,5,2,1,0,^,^,20428921
0,5,2,1,1,^,^,21415284
0,5,2,1,2,^,^,22324799
0,5,2,1,3,^,^,22976213
0,5,2,2,0,^,^,20428921
0,5,2,2,1,^,^,21415284
0,5,2,2,2,^,^,22324799
0,5,2,2,3,^,^,22976213
0,5,3,0,0,^,^,20428921
0,5,3,0,1,^,^,21415284
0,5,3,0,2,^,^,22324799
0,5,3,0,3,^,^,22976213
0,5,3,1,0,^,^,20428921
0,5,3,1,1,^,^,21415284
0,5,3,1,2,^,^,22324799
0,5,3,1,3,^,^,22976213
0,5,3,2,0,^,^,20428921
0,5,3,2,1,^,^,21415284
0,5,3,2,2,^,^,22324799
0,5,3,2,3,^,^,22976213
0,6,0,0,0,0.23,54,23456006
