"IM Race-Ethnicity no Unknown","IM Modelling Subsite","18_Age Categories for NordPred","IM Histology with All","Incidence 5-year LATEST","Crude Rate","Count","Population"
0,1,18,2,3,1.82,196,10782972
0,1,19,0,0,2.97,12356,416252623
0,1,19,0,1,2.77,11440,413435419
0,1,19,0,2,2.72,11270,413754381
0,1,19,0,3,2.70,11093,411263308
0,1,19,1,0,2.50,10398,416252623
0,1,19,1,1,2.19,9038,413435419
0,1,19,1,2,1.96,8126,413754381
0,1,19,1,3,1.75,7205,411263308
0,1,19,2,0,0.32,1316,416252623
0,1,19,2,1,0.45,1866,413435419
0,1,19,2,2,0.64,2657,413754381
0,1,19,2,3,0.83,3423,411263308
0,2,0,0,0,0.00,0,23869573
0,2,0,0,1,0.00,0,22762170
0,2,0,0,2,0.00,0,21668428
0,2,0,0,3,0.00,0,21021396
0,2,0,1,0,0.00,0,23869573
0,2,0,1,1,0.00,0,22762170
0,2,0,1,2,0.00,0,21668428
0,2,0,1,3,0.00,0,21021396
0,2,0,2,0,0.00,0,23869573
0,2,0,2,1,0.00,0,22762170
0,2,0,2,2,0.00,0,21668428
0,2,0,2,3,0.00,0,21021396
0,2,1,0,0,0.00,0,25158891
0,2,1,0,1,0.00,0,23274066
0,2,1,0,2,0.00,0,22616183
0,2,1,0,3,0.00,0,21497499
0,2,1,1,0,0.00,0,25158891
0,2,1,1,1,0.00,0,23274066
0,2,1,1,2,0.00,0,22616183
0,2,1,1,3,0.00,0,21497499
0,2,1,2,0,0.00,0,25158891
0,2,1,2,1,0.00,0,23274066
0,2,1,2,2,0.00,0,22616183
0,2,1,2,3,0.00,0,21497499
0,2,2,0,0,0.00,0,27371620
0,2,2,0,1,0.00,0,25178088
0,2,2,0,2,0.00,0,23638071
0,2,2,0,3,0.00,0,22487526
0,2,2,1,0,0.00,0,27371620
0,2,2,1,1,0.00,0,25178088
0,2,2,1,2,0.00,0,23638071
0,2,2,1,3,0.00,0,22487526
0,2,2,2,0,0.00,0,27371620
0,2,2,2,1,0.00,0,25178088
0,2,2,2,2,0.00,0,23638071
0,2,2,2,3,0.00,0,22487526
0,2,3,0,0,0.01,2,26914884
