"IM Race-Ethnicity no Unknown","18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Age-Adjusted Rate","Count","Population"
0,7,2,1,1,0.02,64,346283967
0,7,2,1,2,0.02,46,347280455
0,7,2,1,3,0.02,46,346452871
0,7,2,2,0,0.01,43,347688122
0,7,2,2,1,0.02,56,346283967
0,7,2,2,2,0.01,39,347280455
0,7,2,2,3,0.01,37,346452871
0,7,2,3,0,^,^,347688122
0,7,2,3,1,^,^,346283967
0,7,2,3,2,^,^,347280455
0,7,2,3,3,^,^,346452871
0,7,3,0,0,0.01,43,347688122
0,7,3,0,1,0.01,41,346283967
0,7,3,0,2,0.01,35,347280455
0,7,3,0,3,0.02,41,346452871
0,7,3,1,0,0.01,49,347688122
0,7,3,1,1,0.02,50,346283967
0,7,3,1,2,0.01,38,347280455
0,7,3,1,3,0.02,51,346452871
0,7,3,2,0,0.01,39,347688122
0,7,3,2,1,0.01,35,346283967
0,7,3,2,2,0.01,34,347280455
0,7,3,2,3,0.01,39,346452871
0,7,3,3,0,^,^,347688122
0,7,3,3,1,^,^,346283967
0,7,3,3,2,^,^,347280455
0,7,3,3,3,^,^,346452871
0,8,0,0,0,0.08,271,347688122
0,8,0,0,1,0.10,295,346283967
0,8,0,0,2,0.10,272,347280455
0,8,0,0,3,0.10,288,346452871
0,8,0,1,0,0.09,291,347688122
0,8,0,1,1,0.11,321,346283967
0,8,0,1,2,0.10,286,347280455
0,8,0,1,3,0.11,314,346452871
0,8,0,2,0,0.08,260,347688122
0,8,0,2,1,0.09,270,346283967
0,8,0,2,2,0.09,247,347280455
0,8,0,2,3,0.09,265,346452871
0,8,0,3,0,0.00,11,347688122
0,8,0,3,1,0.01,25,346283967
0,8,0,3,2,0.01,25,347280455
0,8,0,3,3,0.01,23,346452871
0,8,1,0,0,0.03,108,347688122
0,8,1,0,1,0.04,116,346283967
0,8,1,0,2,0.04,113,347280455
0,8,1,0,3,0.04,121,346452871
0,8,1,1,0,0.03,114,347688122
0,8,1,1,1,0.04,126,346283967
0,8,1,1,2,0.04,115,347280455
0,8,1,1,3,0.04,125,346452871
0,8,1,2,0,0.03,107,347688122
0,8,1,2,1,0.04,110,346283967
0,8,1,2,2,0.04,108,347280455
0,8,1,2,3,0.04,119,346452871
0,8,1,3,0,^,^,347688122
0,8,1,3,1,^,^,346283967
0,8,1,3,2,^,^,347280455
0,8,1,3,3,^,^,346452871
0,8,2,0,0,0.02,78,347688122
0,8,2,0,1,0.03,102,346283967
0,8,2,0,2,0.03,82,347280455
0,8,2,0,3,0.03,86,346452871
0,8,2,1,0,0.02,81,347688122
0,8,2,1,1,0.04,106,346283967
0,8,2,1,2,0.03,83,347280455
0,8,2,1,3,0.03,92,346452871
0,8,2,2,0,0.02,74,347688122
0,8,2,2,1,0.03,93,346283967
0,8,2,2,2,0.03,70,347280455
0,8,2,2,3,0.03,76,346452871
0,8,2,3,0,^,^,347688122
0,8,2,3,1,^,^,346283967
0,8,2,3,2,0.00,12,347280455
0,8,2,3,3,0.00,10,346452871
0,8,3,0,0,0.03,85,347688122
0,8,3,0,1,0.03,77,346283967
0,8,3,0,2,0.03,77,347280455
0,8,3,0,3,0.03,81,346452871
0,8,3,1,0,0.03,96,347688122
0,8,3,1,1,0.03,89,346283967
0,8,3,1,2,0.03,88,347280455
0,8,3,1,3,0.03,97,346452871
0,8,3,2,0,0.02,79,347688122
0,8,3,2,1,0.02,67,346283967
0,8,3,2,2,0.02,69,347280455
0,8,3,2,3,0.03,70,346452871
0,8,3,3,0,^,^,347688122
0,8,3,3,1,0.00,10,346283967
0,8,3,3,2,^,^,347280455
0,8,3,3,3,0.00,11,346452871
0,9,0,0,0,0.07,264,347688122
0,9,0,0,1,0.10,336,346283967
0,9,0,0,2,0.09,283,347280455
0,9,0,0,3,0.10,271,346452871
0,9,0,1,0,0.08,293,347688122
0,9,0,1,1,0.11,360,346283967
0,9,0,1,2,0.10,301,347280455
0,9,0,1,3,0.10,289,346452871
0,9,0,2,0,0.07,258,347688122
0,9,0,2,1,0.09,311,346283967
0,9,0,2,2,0.09,264,347280455
0,9,0,2,3,0.09,242,346452871
0,9,0,3,0,^,^,347688122
0,9,0,3,1,0.01,25,346283967
0,9,0,3,2,0.01,19,347280455
0,9,0,3,3,0.01,29,346452871
0,9,1,0,0,0.03,120,347688122
0,9,1,0,1,0.04,137,346283967
0,9,1,0,2,0.04,118,347280455
0,9,1,0,3,0.04,118,346452871
0,9,1,1,0,0.04,131,347688122
0,9,1,1,1,0.04,147,346283967
0,9,1,1,2,0.04,123,347280455
0,9,1,1,3,0.05,126,346452871
0,9,1,2,0,0.03,116,347688122
0,9,1,2,1,0.04,136,346283967
0,9,1,2,2,0.04,116,347280455
0,9,1,2,3,0.04,113,346452871
0,9,1,3,0,^,^,347688122
0,9,1,3,1,^,^,346283967
0,9,1,3,2,^,^,347280455
0,9,1,3,3,^,^,346452871
0,9,2,0,0,0.02,72,347688122
0,9,2,0,1,0.03,108,346283967
0,9,2,0,2,0.03,108,347280455
0,9,2,0,3,0.03,99,346452871
0,9,2,1,0,0.02,77,347688122
0,9,2,1,1,0.03,110,346283967
0,9,2,1,2,0.04,111,347280455
0,9,2,1,3,0.04,102,346452871
0,9,2,2,0,0.02,71,347688122
0,9,2,2,1,0.03,94,346283967
0,9,2,2,2,0.03,97,347280455
0,9,2,2,3,0.03,83,346452871
0,9,2,3,0,^,^,347688122
0,9,2,3,1,0.00,14,346283967
0,9,2,3,2,0.00,11,347280455
